model,batch_size,device,eager_latency_ms,compiled_latency_ms,speedup,timestamp
resnet_quantized_float_bn_depth18,1,cuda,9.7687859916687,10.426449937820434,0.9369235022396114,2025-06-25T23:58:07.961234
resnet_quantized_float_bn_depth34,1,cuda,17.480447902679444,18.73155075073242,0.9332087948989457,2025-06-25T23:58:15.840636
resnet_quantized_float_bn_depth50,1,cuda,28.110397396087645,27.766568965911866,1.0123828201675866,2025-06-25T23:58:32.981892
resnet_quantized_float_bn_depth101,1,cuda,49.32547588348389,52.57566211700439,0.938180783605019,2025-06-25T23:58:53.886257
resnet_quantized_float_bn_depth152,1,cuda,73.73274139404298,77.91281143188476,0.9463493877191659,2025-06-25T23:59:25.035164
resnet_quantized_float_bn_depth18,4,cuda,10.007060480117797,10.536089582443237,0.9497888568442902,2025-06-26T00:04:25.516712
resnet_quantized_float_bn_depth34,4,cuda,17.65396472930908,18.666547145843506,0.9457541660692241,2025-06-26T00:04:32.973397
resnet_quantized_float_bn_depth50,4,cuda,25.470955467224123,27.456143264770507,0.9276960431622742,2025-06-26T00:04:43.761461
resnet_quantized_float_bn_depth101,4,cuda,50.21739002227783,51.35309844970703,0.9778843251582674,2025-06-26T00:05:04.447797
resnet_quantized_float_bn_depth152,4,cuda,76.1334578704834,74.86034934997559,1.0170064464240738,2025-06-26T00:08:48.732498
resnet_quantized_float_bn_depth18,8,cuda,10.090946578979493,10.413066205978394,0.9690658235886405,2025-06-26T00:14:02.366695
resnet_quantized_float_bn_depth34,8,cuda,17.523650550842284,18.3928218460083,0.9527439942362815,2025-06-26T00:14:09.811582
resnet_quantized_float_bn_depth50,8,cuda,26.210396213531496,27.767664699554444,0.9439179166533246,2025-06-26T00:14:20.722064
resnet_quantized_float_bn_depth101,8,cuda,51.68166919708252,52.81412101745605,0.9785577834382734,2025-06-26T00:14:41.708316
resnet_quantized_float_bn_depth152,8,cuda,73.19734260559082,76.04308006286621,0.9625772988821235,2025-06-26T00:15:12.175967
resnet_quantized_float_bn_depth18,16,cuda,10.360053730010986,10.519500780105592,0.9848427170235919,2025-06-26T00:20:13.651736
resnet_quantized_float_bn_depth34,16,cuda,17.70725374221802,18.625402851104738,0.9507044697917897,2025-06-26T00:20:21.066178
resnet_quantized_float_bn_depth50,16,cuda,30.93681146621704,28.69939199447632,1.0779605181939518,2025-06-26T00:20:33.320401
resnet_quantized_float_bn_depth101,16,cuda,55.377192993164066,53.25502471923828,1.0398491651278712,2025-06-26T00:20:55.362803
resnet_quantized_float_bn_depth152,16,cuda,78.44036605834961,76.40551429748535,1.0266322631235953,2025-06-26T00:21:27.167412
