model,batch_size,device,eager_latency_ms,compiled_latency_ms,speedup,timestamp
resnet_quantized_depth18,1,cuda,26.05356029510498,29.18218755722046,0.8927898309206305,2025-06-30T15:38:22.797342
resnet_quantized_depth34,1,cuda,46.471628761291505,53.747148780822755,0.8646343074085598,2025-06-30T15:38:43.848309
resnet_quantized_depth50,1,cuda,67.69170402526855,78.80859642028808,0.858938074017549,2025-06-30T15:39:16.684798
resnet_quantized_depth101,1,cuda,132.6089419555664,155.83441955566406,0.8509605408976961,2025-06-30T15:40:15.395090
resnet_quantized_depth152,1,cuda,201.03984085083007,231.0776530456543,0.8700098785022297,2025-06-30T15:41:43.507881
resnet_quantized_depth18,4,cuda,26.003036117553712,33.525463066101075,0.7756204907978262,2025-06-30T15:45:11.125393
resnet_quantized_depth34,4,cuda,45.792747535705566,59.53846260070801,0.7691288208567384,2025-06-30T15:45:32.443723
resnet_quantized_depth50,4,cuda,67.1915216064453,86.5275390625,0.776533371160735,2025-06-30T15:46:04.245401
resnet_quantized_depth101,4,cuda,130.52319778442381,168.2595542907715,0.7757253270674009,2025-06-30T15:47:04.661176
resnet_quantized_depth152,4,cuda,195.23639282226563,250.23424560546874,0.7802145239947879,2025-06-30T15:48:34.775941
resnet_quantized_depth18,8,cuda,26.228070430755615,33.26026733398437,0.7885706439874743,2025-06-30T15:51:45.721644
resnet_quantized_depth34,8,cuda,46.87397895812988,60.15221755981445,0.7792560417497345,2025-06-30T15:52:07.258007
resnet_quantized_depth50,8,cuda,69.8922395324707,87.4417253112793,0.7993007832778334,2025-06-30T15:52:38.951028
resnet_quantized_depth101,8,cuda,132.87083984375,169.21510894775392,0.7852185343849797,2025-06-30T15:53:39.953124
resnet_quantized_depth152,8,cuda,195.20533462524415,251.1623371887207,0.7772078282524061,2025-06-30T15:55:10.180022
resnet_quantized_depth18,16,cuda,27.78187774658203,33.755730056762694,0.8230270149650089,2025-06-30T15:58:18.069799
resnet_quantized_depth34,16,cuda,47.711129646301266,59.45588729858398,0.8024626628932265,2025-06-30T15:58:39.650024
resnet_quantized_depth50,16,cuda,81.35442451477051,87.92768493652343,0.9252424259037608,2025-06-30T15:59:13.886107
resnet_quantized_depth101,16,cuda,144.2322839355469,167.94669006347655,0.8587980143046187,2025-06-30T16:00:17.040227
resnet_quantized_depth152,16,cuda,208.81188888549804,250.35767822265626,0.834054263355928,2025-06-30T16:01:49.638384
