model,batch_size,device,eager_latency_ms,compiled_latency_ms,speedup,timestamp
resnet_quantized_depth18,1,cuda,26.340014057159422,21.623111610412597,1.218141705584843,2025-06-25T23:54:39.836648
resnet_quantized_depth34,1,cuda,45.717647285461425,39.11051273345947,1.1689350021317793,2025-06-25T23:54:58.223035
resnet_quantized_depth50,1,cuda,68.67730422973632,74.16114166259766,0.9260551103998572,2025-06-25T23:55:32.700945
resnet_quantized_depth101,1,cuda,130.83923385620116,142.979921875,0.9150881616132591,2025-06-25T23:56:30.003494
resnet_quantized_depth152,1,cuda,198.12265014648438,213.2370639038086,0.9291191996334073,2025-06-25T23:57:54.758684
resnet_quantized_depth18,4,cuda,26.36496898651123,28.445521869659423,0.9268583331787155,2025-06-26T00:01:10.436229
resnet_quantized_depth34,4,cuda,47.16101623535156,52.77281253814697,0.8936612237837634,2025-06-26T00:01:30.394639
resnet_quantized_depth50,4,cuda,67.03195167541504,72.25491432189942,0.9277147762819868,2025-06-26T00:02:00.449986
resnet_quantized_depth101,4,cuda,128.00044013977052,145.3627491760254,0.8805587460702866,2025-06-26T00:02:56.156209
resnet_quantized_depth152,4,cuda,192.35260452270506,211.96685363769532,0.9074654891631503,2025-06-26T00:04:18.118769
resnet_quantized_depth18,8,cuda,26.032537517547606,28.412231636047363,0.9162440265522623,2025-06-26T00:10:50.234067
resnet_quantized_depth34,8,cuda,45.69478141784668,55.990927124023436,0.8161104622652497,2025-06-26T00:11:10.255147
resnet_quantized_depth50,8,cuda,68.57042930603028,72.90986541748048,0.9404821818473718,2025-06-26T00:11:39.454990
resnet_quantized_depth101,8,cuda,131.30132431030273,141.1168359375,0.9304440780436395,2025-06-26T00:12:34.957897
resnet_quantized_depth152,8,cuda,196.80590774536134,212.23355361938476,0.9273081677664832,2025-06-26T00:13:57.563031
resnet_quantized_depth18,16,cuda,28.08310775756836,29.1453235244751,0.9635545041723509,2025-06-26T00:16:51.826644
resnet_quantized_depth34,16,cuda,47.98811134338379,53.316781997680664,0.9000564089834102,2025-06-26T00:17:12.155743
resnet_quantized_depth50,16,cuda,81.4932992553711,77.05923614501953,1.0575409688983552,2025-06-26T00:17:44.480948
resnet_quantized_depth101,16,cuda,143.572490234375,142.59940338134766,1.0068239195252806,2025-06-26T00:18:42.922827
resnet_quantized_depth152,16,cuda,209.3830046081543,217.4918962097168,0.9627163506186754,2025-06-26T00:20:09.316960
