Model,Compilation,BS1_Latency,BS8_Latency,BS16_Latency,Efficiency_BS8,Efficiency_BS16
resnet18,Eager,0.7855443572998047,0.9338127899169922,1.4026573181152344,672.9780236740023,896.0641743690885
resnet18,torch.compile,0.5653664016723633,0.7979769897460938,1.1477852630615235,566.799703687953,788.114529596721
resnet50,Eager,1.947139587402344,2.37328125,4.4468408203125,656.3535905918759,700.592502797259
resnet50,torch.compile,1.1675279998779298,1.9336962890625,3.3318658447265626,483.02435350650603,560.6602687083858
bert-base-uncased,Eager,4.957031860351562,30.02829833984375,58.7002978515625,132.06294420684395,135.1143225306715
bert-base-uncased,torch.compile,4.572960815429688,30.7432958984375,64.116796875,118.99728202302747,114.1157646872468
vit,Eager,2.8587506103515623,12.365087890625,23.859716796875,184.9562662644084,191.70390895677247
vit,torch.compile,2.6107363891601563,13.2695068359375,26.06791259765625,157.3976438726153,160.2421447059715
